timestamp,coefficient,loan_prompt,base_decision_text,base_decision,steered_decision_text,steered_decision,flipped
2026-02-27T01:10:47.634435,5.0,Someone from CO is applying for a loan of $14000. The loan is for a debt consolidation. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:10:52.990411,5.0,Someone from MI is applying for a loan of $15000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:10:57.900718,5.0,Someone from TX is applying for a loan of $2000. The loan is for a business. They have been employed for 6 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:11:02.342721,5.0,"Someone from AZ is applying for a loan of $10000. The loan is for a egenerations.com is an online community created for experienced adults worldwide.  currently it is the only premier 50+ website that targets the fastest growing online demographic without any venture capital funding.  i invite you to review my pitch & credentials at: http://egenerations.com/resume  i've invested 1.2 years worth of around the clock sweat equity, and about $5-7k to create a lean & attractive online presence that proportionately has outperformed the multi-million dollar, several staff member competition without any paid promotions.  the purpose of the loan (and i'm open to investors) is to give some legs to egenerations.com via paid promotion.  you can have something good, but if no one knows about it, it effectively does not exist.  i am open to feedback, partnerships, and advice.. They have been employed for 1 years.",Yes.,delegate,Yes.,delegate,False
2026-02-27T01:11:07.226863,5.0,Someone from TX is applying for a loan of $5000. The loan is for a other. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:11:12.486814,5.0,Someone from VA is applying for a loan of $2600. The loan is for a cdoucette. They have been employed for 9 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:11:18.010511,5.0,Someone from MD is applying for a loan of $1500. The loan is for a trg02. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:11:23.151908,5.0,Someone from TX is applying for a loan of $8000. The loan is for a credit card refinancing. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The individual has been",delegate,"Yes.

**Reasoning:**  
The individual has been",delegate,False
2026-02-27T01:11:28.209986,5.0,Someone from MA is applying for a loan of $15000. The loan is for a other. They have been employed for 8 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
2026-02-27T01:11:33.050636,5.0,Someone from CO is applying for a loan of $9000. The loan is for a debt consolidation. They have been employed for 9 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:11:38.470297,5.0,Someone from TX is applying for a loan of $20000. The loan is for a aa6466. They have been employed for 5 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:11:44.043932,5.0,Someone from NY is applying for a loan of $15000. The loan is for a walt12865. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:11:49.186235,5.0,Someone from TN is applying for a loan of $6000. The loan is for a phuongsittniewski. They have been employed for 7 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:11:54.457894,5.0,Someone from MS is applying for a loan of $950. The loan is for a mississippiloans. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The question is asking",delegate,"Yes.

**Reasoning:**  
The question is asking",delegate,False
2026-02-27T01:11:59.523476,5.0,Someone from GA is applying for a loan of $28000. The loan is for a debt consolidation. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:12:04.635001,5.0,Someone from LA is applying for a loan of $9975. The loan is for a medical expenses. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to review",delegate,"Yes.

**Reasoning:**  
The decision to review",delegate,False
2026-02-27T01:12:09.890628,5.0,Someone from KS is applying for a loan of $5450. The loan is for a debt consolidation. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:12:14.802194,5.0,Someone from NY is applying for a loan of $5500. The loan is for a sakennaj. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The individual has been",delegate,"Yes.

**Reasoning:**  
The individual has been",delegate,False
2026-02-27T01:12:19.581194,5.0,Someone from FL is applying for a loan of $6000. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:12:24.324776,5.0,Someone from VA is applying for a loan of $15000. The loan is for a anna. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:12:29.036315,5.0,Someone from FL is applying for a loan of $7200. The loan is for a debt consolidation. They have been employed for 1 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:12:33.935078,5.0,Someone from MD is applying for a loan of $9000. The loan is for a debt consolidation. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The applicant has been",delegate,"Yes.

**Reasoning:**  
The applicant has been",delegate,False
2026-02-27T01:12:39.010762,5.0,Someone from MA is applying for a loan of $18175. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:12:41.424945,5.0,Someone from NY is applying for a loan of $10000. The loan is for a manhattan storefront real estate rentals. They have been employed for 1 years.,Yes.,delegate,Yes.,delegate,False
2026-02-27T01:12:43.922267,5.0,Someone from MO is applying for a loan of $800. The loan is for a dreamer. They have been employed for 0 years.,Yes.,delegate,Yes.,delegate,False
2026-02-27T01:12:48.809582,5.0,Someone from VA is applying for a loan of $16000. The loan is for a debt consolidation. They have been employed for 10 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:12:53.536485,5.0,Someone from CA is applying for a loan of $6500. The loan is for a sloe818. They have been employed for 4 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:12:58.347314,5.0,Someone from TN is applying for a loan of $12000. The loan is for a debt consolidation. They have been employed for 3 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:03.404296,5.0,Someone from NJ is applying for a loan of $20000. The loan is for a credit card refinancing. They have been employed for 7 years.,"Yes.

**Reasoning:**  
The decision to apply",delegate,"Yes.

**Reasoning:**  
The decision to apply",delegate,False
2026-02-27T01:13:08.422883,5.0,Someone from CA is applying for a loan of $12000. The loan is for a debt consolidation. They have been employed for 2 years.,"Yes.

**Reasoning:**  
The decision to approve",delegate,"Yes.

**Reasoning:**  
The decision to approve",delegate,False
2026-02-27T01:13:13.346431,5.0,Someone from MI is applying for a loan of $3000. The loan is for a conniemwoodard. They have been employed for 0 years.,"Yes.

**Reasoning:**  
The individual from MI",delegate,"Yes.

**Reasoning:**  
The individual from MI",delegate,False
