ID,Year,Problem Number,Question,Answer,Part,prompt,llm_full_thought,llm_prediction,llm_critique,llm_delegate,solution,method,timestamp
1990-14,1990,14,"The rectangle $ABCD^{}_{}$ below has dimensions $AB^{}_{} = 12 \sqrt{3}$ and $BC^{}_{} = 13 \sqrt{3}$ .  Diagonals $\overline{AC}$ and $\overline{BD}$ intersect at $P^{}_{}$ .  If triangle $ABP^{}_{}$ is cut out and removed, edges $\overline{AP}$ and $\overline{BP}$ are joined, and the figure is then creased along segments $\overline{CP}$ and $\overline{DP}$ , we obtain a triangular pyramid, all four of whose faces are isosceles triangles.  Find the volume of this pyramid. AIME 1990 Problem 14.png",594,,"You are helping Person 1 solve the following math problem: The rectangle $ABCD^{}_{}$ below has dimensions $AB^{}_{} = 12 \sqrt{3}$ and $BC^{}_{} = 13 \sqrt{3}$ .  Diagonals $\overline{AC}$ and $\overline{BD}$ intersect at $P^{}_{}$ .  If triangle $ABP^{}_{}$ is cut out and removed, edges $\overline{AP}$ and $\overline{BP}$ are joined, and the figure is then creased along segments $\overline{CP}$ and $\overline{DP}$ , we obtain a triangular pyramid, all four of whose faces are isosceles triangles.  Find the volume of this pyramid. AIME 1990 Problem 14.png.",Connection error.,Err,Err,1,594,auditor,2026-02-20 21:04:59
2012-I-12,2012,12,"Let $\triangle ABC$ be a right triangle with right angle at $C.$ Let $D$ and $E$ be points on $\overline{AB}$ with $D$ between $A$ and $E$ such that $\overline{CD}$ and $\overline{CE}$ trisect $\angle C.$ If $\frac{DE}{BE} = \frac{8}{15},$ then $\tan B$ can be written as $\frac{m \sqrt{p}}{n},$ where $m$ and $n$ are relatively prime positive integers, and $p$ is a positive integer not divisible by the square of any prime. Find $m+n+p.$",18,I,"You are helping Person 1 solve the following math problem: Let $\triangle ABC$ be a right triangle with right angle at $C.$ Let $D$ and $E$ be points on $\overline{AB}$ with $D$ between $A$ and $E$ such that $\overline{CD}$ and $\overline{CE}$ trisect $\angle C.$ If $\frac{DE}{BE} = \frac{8}{15},$ then $\tan B$ can be written as $\frac{m \sqrt{p}}{n},$ where $m$ and $n$ are relatively prime positive integers, and $p$ is a positive integer not divisible by the square of any prime. Find $m+n+p.$.",Connection error.,Err,Err,1,18,auditor,2026-02-20 21:04:59
2017-I-11,2017,11,"Consider arrangements of the $9$ numbers $1, 2, 3, \dots, 9$ in a $3 \times 3$ array. For each such arrangement, let $a_1$ , $a_2$ , and $a_3$ be the medians of the numbers in rows $1$ , $2$ , and $3$ respectively, and let $m$ be the median of $\{a_1, a_2, a_3\}$ . Let $Q$ be the number of arrangements for which $m = 5$ . Find the remainder when $Q$ is divided by $1000$ .",360,I,"You are helping Person 1 solve the following math problem: Consider arrangements of the $9$ numbers $1, 2, 3, \dots, 9$ in a $3 \times 3$ array. For each such arrangement, let $a_1$ , $a_2$ , and $a_3$ be the medians of the numbers in rows $1$ , $2$ , and $3$ respectively, and let $m$ be the median of $\{a_1, a_2, a_3\}$ . Let $Q$ be the number of arrangements for which $m = 5$ . Find the remainder when $Q$ is divided by $1000$ ..",Connection error.,Err,Err,1,360,auditor,2026-02-20 21:04:59
1986-11,1986,11,"The polynomial $1-x+x^2-x^3+\cdots+x^{16}-x^{17}$ may be written in the form $a_0+a_1y+a_2y^2+\cdots +a_{16}y^{16}+a_{17}y^{17}$ , where $y=x+1$ and the $a_i$ 's are constants. Find the value of $a_2$ .",816,,"You are helping Person 1 solve the following math problem: The polynomial $1-x+x^2-x^3+\cdots+x^{16}-x^{17}$ may be written in the form $a_0+a_1y+a_2y^2+\cdots +a_{16}y^{16}+a_{17}y^{17}$ , where $y=x+1$ and the $a_i$ 's are constants. Find the value of $a_2$ ..",Connection error.,Err,Err,1,816,auditor,2026-02-20 21:04:59
2020-I-14,2020,14,"Let $P(x)$ be a quadratic polynomial with complex coefficients whose $x^2$ coefficient is $1.$ Suppose the equation $P(P(x))=0$ has four distinct solutions, $x=3,4,a,b.$ Find the sum of all possible values of $(a+b)^2.$",85,I,"You are helping Person 1 solve the following math problem: Let $P(x)$ be a quadratic polynomial with complex coefficients whose $x^2$ coefficient is $1.$ Suppose the equation $P(P(x))=0$ has four distinct solutions, $x=3,4,a,b.$ Find the sum of all possible values of $(a+b)^2.$.",Connection error.,Err,Err,1,85,auditor,2026-02-20 21:04:59
1990-5,1990,5,"Let $n^{}_{}$ be the smallest positive integer that is a multiple of $75_{}^{}$ and has exactly $75_{}^{}$ positive integral divisors, including $1_{}^{}$ and itself. Find $\frac{n}{75}$ .",432,,"You are helping Person 1 solve the following math problem: Let $n^{}_{}$ be the smallest positive integer that is a multiple of $75_{}^{}$ and has exactly $75_{}^{}$ positive integral divisors, including $1_{}^{}$ and itself. Find $\frac{n}{75}$ ..",Connection error.,Err,Err,1,432,auditor,2026-02-20 21:15:35
2002-I-3,2002,3,"Jane is 25 years old. Dick is older than Jane. In $n$ years, where $n$ is a positive integer, Dick's age and Jane's age will both be two-digit numbers and will have the property that Jane's age is obtained by interchanging the digits of Dick's age. Let $d$ be Dick's present age. How many ordered pairs of positive integers $(d,n)$ are possible?",25,I,"You are helping Person 1 solve the following math problem: Jane is 25 years old. Dick is older than Jane. In $n$ years, where $n$ is a positive integer, Dick's age and Jane's age will both be two-digit numbers and will have the property that Jane's age is obtained by interchanging the digits of Dick's age. Let $d$ be Dick's present age. How many ordered pairs of positive integers $(d,n)$ are possible?.",Connection error.,Err,Err,1,25,auditor,2026-02-20 21:15:35
1994-8,1994,8,"The points $(0,0)\,$ , $(a,11)\,$ , and $(b,37)\,$ are the vertices of an equilateral triangle.  Find the value of $ab\,$ .",315,,"You are helping Person 1 solve the following math problem: The points $(0,0)\,$ , $(a,11)\,$ , and $(b,37)\,$ are the vertices of an equilateral triangle.  Find the value of $ab\,$ ..",Connection error.,Err,Err,1,315,auditor,2026-02-20 21:15:35
2018-II-11,2018,11,"Find the number of permutations of $1, 2, 3, 4, 5, 6$ such that for each $k$ with $1$ $\leq$ $k$ $\leq$ $5$ , at least one of the first $k$ terms of the permutation is greater than $k$ .",461,II,"You are helping Person 1 solve the following math problem: Find the number of permutations of $1, 2, 3, 4, 5, 6$ such that for each $k$ with $1$ $\leq$ $k$ $\leq$ $5$ , at least one of the first $k$ terms of the permutation is greater than $k$ ..",Connection error.,Err,Err,1,461,auditor,2026-02-20 21:15:35
2006-II-3,2006,3,Let $P$ be the product of the first 100 positive odd integers. Find the largest integer $k$ such that $P$ is divisible by $3^k$ .,49,II,You are helping Person 1 solve the following math problem: Let $P$ be the product of the first 100 positive odd integers. Find the largest integer $k$ such that $P$ is divisible by $3^k$ ..,Connection error.,Err,Err,1,49,auditor,2026-02-20 21:15:35
