condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.524,0.56,0.74,0.8151260504201681,0.6717557251908397,-0.03600000000000003,97,43,88,22
lead_90_180,0.554,250,0.536,0.484,0.74,0.7413793103448276,0.7388059701492538,0.052000000000000046,86,35,99,30
lead_30_90,0.622,250,0.6,0.532,0.388,0.4,0.38,0.06799999999999995,40,93,57,60
no_prev_cancel,0.661,250,0.632,0.468,0.492,0.44565217391304346,0.5189873417721519,0.16399999999999998,41,76,82,51
no_deposit,0.716,250,0.748,0.576,0.3,0.25396825396825395,0.3155080213903743,0.17200000000000004,16,128,59,47
has_special_requests,0.783,250,0.756,0.752,0.036,0.06557377049180328,0.026455026455026454,0.0040000000000000036,4,184,5,57
lead_under_30,0.818,250,0.812,0.664,0.22,0.19148936170212766,0.22660098522167488,0.14800000000000002,9,157,46,38
lead_under_30_special,0.866,250,0.832,0.824,0.024,0.047619047619047616,0.019230769230769232,0.008000000000000007,2,204,4,40
lead_under_7,0.906,250,0.92,0.82,0.108,0.05,0.11304347826086956,0.10000000000000009,1,204,26,19
repeated_special,0.95,250,0.976,0.952,0.024,0.0,0.02459016393442623,0.02400000000000002,0,238,6,6
