condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.476,0.524,1.0,1.0,1.0,-0.04800000000000004,131,0,119,0
lead_90_180,0.554,250,0.524,0.476,1.0,1.0,1.0,0.04800000000000004,119,0,131,0
lead_30_90,0.622,250,0.56,0.436,0.996,0.990909090909091,1.0,0.12400000000000005,109,0,140,1
no_prev_cancel,0.661,250,0.652,0.364,0.976,0.9885057471264368,0.9693251533742331,0.28800000000000003,86,5,158,1
no_deposit,0.716,250,0.724,0.296,0.94,0.927536231884058,0.9447513812154696,0.428,64,10,171,5
has_special_requests,0.783,250,0.74,0.516,0.496,0.5230769230769231,0.4864864864864865,0.22399999999999998,34,95,90,31
lead_under_30,0.818,250,0.828,0.652,0.264,0.2558139534883721,0.26570048309178745,0.17599999999999993,11,152,55,32
lead_under_30_special,0.866,250,0.872,0.736,0.2,0.25,0.1926605504587156,0.136,8,176,42,24
lead_under_7,0.906,250,0.876,0.772,0.176,0.2903225806451613,0.1598173515981735,0.10399999999999998,9,184,35,22
repeated_special,0.95,250,0.932,0.852,0.096,0.11764705882352941,0.0944206008583691,0.08000000000000007,2,211,22,15
