condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
dti_over_25,218,0.6834862385321101,0.5,0.6330275229357798,0.7101449275362319,0.5973154362416108,49,60,89,20
dti_over_30,249,0.5863453815261044,0.5461847389558233,0.7791164658634538,0.8932038834951457,0.6986301369863014,92,44,102,11
dti_under_10,250,0.732,0.548,0.488,0.5671641791044776,0.45901639344262296,38,99,84,29
fico_650_680,249,0.8674698795180723,0.6265060240963856,0.3614457831325301,0.45454545454545453,0.3472222222222222,15,141,75,18
fico_650_700_dti_under_20,250,0.904,0.792,0.16,0.25,0.1504424778761062,6,192,34,18
fico_over_700,250,0.904,0.74,0.236,0.375,0.22123893805309736,9,176,50,15
fico_over_750_dti_under_20,249,0.8755020080321285,0.8393574297188755,0.08433734939759036,0.1935483870967742,0.06880733944954129,6,203,15,25
fico_over_750_loan_under_20000,250,0.92,0.804,0.132,0.1,0.13478260869565217,2,199,31,18
loan_over_25000,250,0.744,0.588,0.548,0.765625,0.4731182795698925,49,98,88,15
loan_under_5000,231,0.6623376623376623,0.5411255411255411,0.5800865800865801,0.6794871794871795,0.5294117647058824,53,72,81,25
