ground_truth,prediction,correct,escalate,thought,esc_reasoning,thinking_predict,thinking_escalate,timestamp,prompt,esc_prompt
1,1,1,0,"The comment is a constructive discussion about the wording of a Wikipedia article, with a polite and inquiring tone, and does not contain any abusive or inflammatory language. 
PREDICTION: 1","The confidence in my prediction is high because the comment is clearly a constructive discussion without any toxic language, making it likely that the crowd-workers will agree with my assessment. 
DECISION: 0",,,2026-03-16T12:38:04.177508,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ==Djehuty== 
 Hey, thought I'd let you know I started a discussion at Djehuty as to the page's name. Personally, I think we should go with the more common version (as we do with Set (mythology), Achilles, Ajax (mythology), etc.), but we'll see what everyone else thinks. / '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,1,1,0,"The given comment is a neutral and informative response directing the user to the correct discussion page, without containing any abusive or aggressive language. 
PREDICTION: 1","The prediction made is confident and based on the neutral and informative nature of the comment, so implementing it is likely to be correct. There is no indication that the crowd-workers would disagree with this assessment.

DECISION: 0",,,2026-03-16T12:38:04.215851,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 :::Greg, have just copy-edited the quote in that footnote and in ``Criticism`` (punctuation & format) and got to thinking about the word ``sacrifice``.  It struck me as a bit odd first time round, and have just seen it is your paraphrase of the Independent report.  (I assume that was your edit in ``Criticism``.)  Do you think the uninformed reader will understand what is meant by ``sacrifice`` in that context, i.e. that true jihadists sacrifice their own lives in the pursuit of jihad?  I was wondering if ``actions`` (the Independent's word) or some other word might be better, or if  the passage in ``Criticism`` should be expanded to explain ``sacrifice``.  If you think the word is okay and readers will pick it up from the quote anyway, that's fine, although I can't imagine readers look up all the citations. Do you see what I mean?  Horrors, I hope some admin doesn't think I'm canvassing an edit! Perhaps this should be on the Talk page.   `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,1,1,1,"The comment is likely to be labeled as not toxic because it is primarily a factual correction and a request to review the data, despite being written in an assertive and somewhat emphatic tone. 

PREDICTION: 1","I should escalate to the crowd-workers because the tone and language used in the comment, although primarily factual, contain some assertive and emphatic elements that might be perceived differently by various crowd-workers. 

DECISION: 1",,,2026-03-16T12:38:04.318778,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`:::::::::The Talk page guidelines state -  
 :::::::::*Behavior that is unacceptable 
 :::::::::**Do not threaten people 
 :::::::::***Now look at this discourse between us -  
 :::::::::****Me - ``So my block is specifically and only because of my removal of the WHOIS tag. Please show me where it states in Wikipolicy that I cannot remove this tag. Bear in mind this tag is not a shared IP notice tag.`` 
 :::::::::*****You - ``Stop now...and I mean now, or I will have this page protected for the remainder of your block. You have been told repeatedly the rules...you just refuse to understand them because that would make you wrong. You are wrong, you violated policy, you editwarred, you violated WP:3RR, and you were blocked. Now...STOP!`` 
 `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
0,0,1,1,"The comment is likely to be labeled as toxic by the crowd-workers because it contains personal attacks and accusations against other editors, uses derogatory language (""Wickedpedia""), and references a defamatory site. PREDICTION: 0","I should escalate to the crowd-workers because the comment contains nuanced language and context that may be open to different interpretations, and it's uncertain whether the crowd-workers will agree with my prediction. The complexity of the comment warrants further review.

DECISION: 1",,,2026-03-16T12:38:04.333850,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`Kurt and Dave get it on?== 
  
 Groaning Kurt released his cock. For the past week he hadn't been able to get off. He tried a cocktail of drugs and a cocktail of whores. Nothing was doing it for him. Masturbating in the shower wasn't even working. Oh he was getting hard all right, he just couldn't fucking cum. And it was driving him nuts. 
  
 To top it off, he didn't know why he couldn't cum. The girls had been either hot enough or slutty enough. Even the couple of guys he brought home had been decent. Despite that, he couldn't fucking cum. And a week of that was enough to make anyone more pissy than normal. 
  
 Which meant band practice was unlikely to be much fun for anyone. 
  
 That was made abundantly clear the moment Kurt stepped into the rehearsal studio. His eyes flicked from Krist to Dave and he came to a sudden stop. Dave was sitting on a couch, a pretty girl in his lap giggling. It was like he was taunting Kurt. And he would have nothing of that. 
  
 Stalking over to the drummer and the floozie, Kurt pulled her forcibly out of his lap. The girl squealed and Dave growled, but Kurt paid no attention, forcing the girl out of the studio. After slamming the door he headed back over to Dave. Without a word he pulled the drummer to him and kissed him possessively. 
  
 Dave shoved Kurt away, ``What part of no don't you fucking understand!?`` 
  
 Krist's eyes widened and he took a step forward, ``Guys, I think—`` 
  
 Kurt sent him a silent glare, silencing and stopping him. 
  
 ``I don't want you, Kurt. I don't even fucking like you right now,`` Dave growled. ``In fact, I fucking quit! I don't have to put up with this shit. You're fucking insane. You need some other crackwhore to take my place. I'm not it.`` 
  
 Sidestepping the singer, Dave headed towards the door. He barely made three steps before Kurt grabbed him again. This time his back was pulled to Kurt's front. He could clearly feel the singer's erection pressing into his ass. 
  
 He wasn't going to be anyone's bitch. 
  
 ``I'm just gonna... go,`` Krist muttered before slipping out of the room quickly. 
  
 ``You're fucking mine, Dave,`` Kurt declared, licking Dave's neck. ``Always.`` 
  
 For as small as he was, Kurt had more strength than Dave expected. With considerably less effort than he would have figured, the singer forced the drummer down to the floor. Dave wiggled and tried to crawl away, but all that resulted was in Kurt pulling the drummer's pants off. 
  
 Laying down on top of Dave while he worked his own pants off, Kurt hissed in his ear, ``You're mine. You hear me? Fucking mine.`` 
  
 ``Stop! Kurt, stop!`` Dave struggled. 
  
 With Kurt's weight on him, the drummer had very little maneuverability. He was completely trapped. But that didn't mean he stopped trying to get away. While wholly his struggling was probably a good thing, it wasn't really helping. If anything it was turning Kurt on more. 
  
 Not having the patience to remove Dave's boxers, Kurt reached down and tore the back seam, exposing the drummer's ass. He didn't even pause to warn Dave. His hands spread Dave's cheeks, spit down his crack to provide some lubrication, and quickly pushed his cock in. Dave screamed, wiggling once more to get away. With Kurt's hands holding onto his hips, he had no chance to go anywhere, at least not until the singer was done. 
  
 Dave's screams faded into sobs. That alone drove Kurt further, faster. He loved everything about it. The way Dave's ass squeezed his cock better than anyone else's had before. He was a perfect glove, a perfect fit. Before too long a week's worth of unreleased cum spurted from Kurt's cock. 
  
 Slowly he pulled out, not really caring about the mixture of blood and semen leaking from Dave's ass. Grinning to himself he refastened his pants. He glanced at Dave, a feeling of superiority infusing him. He totally owned Dave now.  
  
 Does anyone have any basis for this rumour? I would love to put it on the main page.   
  
 ==`'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,1,1,0,"The comment appears to be a defensive response to a perceived accusation, but it contains apologetic and explanatory language, indicating a non-toxic intent. 
PREDICTION: 1","The confidence in the prediction is relatively high because the comment's tone, although defensive, is explanatory and contains an apology, which are indicators of non-toxic intent. Therefore, implementing the prediction is a reasonable choice.

DECISION: 0",,,2026-03-16T12:38:04.357984,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: 'Your edit to Car accident 
 Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia.  '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,1,1,0,"The comment is a polite inquiry about the deletion of a sourced fact and does not contain any abusive or aggressive language, suggesting that the crowd-workers will likely label it as not toxic.

PREDICTION: 1","Since the comment is a straightforward and polite inquiry, it is likely that the crowd-workers will agree with my prediction, making it safe to implement. Therefore, there is no need to escalate to the crowd-workers.

DECISION: 0",,,2026-03-16T12:38:04.368444,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == Why do you accuse me of making personal attacks on my own IP# talk page? == 
  
 If you take a look at the bottom of the page http://en.wikipedia.org/wiki/Talk:Samuel you will see that IAN THOMSON makes a person attack on an editor by calling him ``crazy`` and promoting an external defamitory site that was removed but placed back by someone else. Wikipedia should be called Wickedpedia   `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,0,0,1,"The conversation contains personal attacks, accusations of having a political agenda, and name-calling, indicating a toxic tone throughout the discussion. PREDICTION: 0","The conversation is borderline toxic with multiple users calling out the original poster for their behavior, but it also contains some personal attacks and inflammatory language, making it a potentially difficult decision for crowd-workers, thus it's better to escalate to ensure accuracy. 
DECISION: 1",,,2026-03-16T12:38:04.423406,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: ' 
  
 ::::::HUSOND: the data on that page that I was trying to fix and you reverted is entirely wrong, Georgia armenia, azerbaijan , that is NOT their actual teritory and population. I urge you not to change the data correction just because it was me. if you will look at the list you will see that the numbers are entirely WRONG. you dont have to believe me, just go to the page of one of the countries and see that the actual data is very different.  '.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,1,1,1,"The comment appears to be a discussion about a Wikipedia article edit, with the author expressing a differing opinion and addressing a specific issue, without using overtly aggressive or abusive language. 
PREDICTION: 1","The comment is somewhat nuanced, discussing a specific edit and addressing a particular issue, but it requires careful consideration to determine if the tone is neutral or slightly toxic, so it's better to err on the side of caution and verify with the crowd-workers. 
DECISION: 1",,,2026-03-16T12:38:04.426443,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '`Welcome 
  
 Hello, and welcome to Wikipedia! Thank you for . I hope you like the place and decide to stay. Here are some pages you might like to see: 
  
 * The five pillars of Wikipedia 
 * How to edit a page 
 * Help pages 
 * Tutorial 
 * How to write a great article 
 * Manual of Style 
  
 You are welcome to continue editing articles without logging in, but you may wish to [ create an account]. Doing so is free, requires no personal information, and provides several benefits. If you edit without a username, your IP address () is used to identify you instead. 
  
 In any case, I hope you enjoy editing here and being a Wikipedian! Please sign your comments on talk pages using four tildes (~~~~); this will automatically produce your IP address (or username if you're logged in) and the date. If you need help, check out Wikipedia:Questions, ask me on , or ask your question and then place {{helpme}} before the question on this page. Again, welcome!  Happy editing!  Sincerely, '''' `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,1,1,0,"The given comment is a formal and informative message from Wikipedia regarding a copyright issue with an uploaded image, and it does not contain any abusive or toxic language. 
PREDICTION: 1","The comment is a clear example of a non-toxic, informative message, and it is highly likely that the crowd-workers will agree with my prediction, so implementing it is a reasonable choice. 
DECISION: 0",,,2026-03-16T12:38:04.464145,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
  
 == Speedy deletion of ``Solution4humanity`` == 
  
  A page you created, Solution4humanity, has been tagged for deletion, as it meets one or more of the criteria for speedy deletion; specifically, it is about a person or group of people, but it does not indicate how they are important or significant, and thus why they should be included in an encyclopedia. Please see the guidelines for what is generally accepted as notable, and the guidelines for biographies in particular. 
  
 You are welcome to contribute content which complies with our content policies and any applicable inclusion guidelines. However, please do not simply re-create the page with the same content. You may also wish to read our introduction to editing and guide to writing your first article. 
  
 Thank you.   `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
1,1,1,0,"The given comment is a polite and helpful response to a user's edit, providing guidance on how to use Wikipedia's features and contributing to the encyclopedia, indicating it is not toxic.

PREDICTION: 1","The comment is clearly a standard and friendly automated response from Wikipedia, making it highly likely that the crowd-workers will also label it as not toxic, so implementing the prediction is reasonable. The confidence in the prediction is high due to the obvious non-toxic nature of the comment.

DECISION: 0",,,2026-03-16T12:38:04.657916,"You are helping a group of crowd-workers label Wikipedia discussion comments as toxic or not. This comment needs to be checked: '` 
 :::Ringerfan23: I just want you to let you know that you appear to alienate a lot of people on Wikipedia. Perhaps the problem can be best summarized by your own comment on this page when you said that you thought about the issue and came to agree with the rest of the group. In light of your failure to think about the issue in advance, your actions were shameful. When faced with a group of people who reached consensus, you still had the audacity to have the page locked to reflect your (poorly reasoned) point of view. These are the actions of a stubborn child who wants his way and completely contradictory to what Wikipedia is about. I think you should grow up, recognize that your positions are often incorrect, and defer to the democratic process. Seriously, why do you think your opinion is so important that your beliefs should outweigh a consensus?   —Preceding unsigned comment added by    `'.

TASK: Predict the crowd-workers' aggregate decision. Explain your reasoning in 1 sentence. Then conclude with exactly 'PREDICTION: 1' (not toxic) or 'PREDICTION: 0' (toxic).","You predicted the crowd-workers' aggregate decision above.
TASK: Should we implement your prediction, or escalate to the crowd-workers?
A decision is considered correct if you implement when your prediction matches the crowd-workers' true aggregate decision, or escalate when your prediction does not.
Explain your reasoning in 1-2 sentences, then conclude with exactly 'DECISION: 0' (implement) or 'DECISION: 1' (escalate)."
