condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
contains_article,250,0.864,0.82,0.132,0.3235294117647059,0.10185185185185185,11,194,22,23
contains_link,249,0.9196787148594378,0.8473895582329317,0.11244979919678715,0.25,0.10043668122270742,5,206,23,15
contains_love,249,0.7269076305220884,0.7309236947791165,0.10040160642570281,0.19117647058823528,0.06629834254143646,13,169,12,55
contains_page,248,0.8951612903225806,0.8225806451612904,0.12096774193548387,0.23076923076923078,0.10810810810810811,6,198,24,20
contains_please,250,0.876,0.824,0.124,0.2903225806451613,0.1004566210045662,9,197,22,22
contains_stop,250,0.716,0.696,0.188,0.29577464788732394,0.1452513966480447,21,153,26,50
contains_thank,249,0.9357429718875502,0.8995983935742972,0.060240963855421686,0.1875,0.05150214592274678,3,221,12,13
contains_troll,248,0.6048387096774194,0.6088709677419355,0.21370967741935484,0.2755102040816326,0.17333333333333334,27,124,26,71
contains_vandal,223,0.6905829596412556,0.6547085201793722,0.14349775784753363,0.17391304347826086,0.12987012987012986,12,134,20,57
contains_wikipedia,249,0.8674698795180723,0.8072289156626506,0.14859437751004015,0.3333333333333333,0.12037037037037036,11,190,26,22
