condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
dti_over_25,246,0.6991869918699187,0.44715447154471544,0.8048780487804879,0.918918918918919,0.7558139534883721,68,42,130,6
dti_over_30,241,0.7551867219917012,0.2821576763485477,0.9626556016597511,1.0,0.9505494505494505,59,9,173,0
dti_under_10,239,0.698744769874477,0.4686192468619247,0.7740585774058577,0.9027777777777778,0.718562874251497,65,47,120,7
fico_650_680,247,0.8704453441295547,0.7408906882591093,0.2591093117408907,0.5,0.22325581395348837,16,167,48,16
fico_650_700_dti_under_20,246,0.9186991869918699,0.8739837398373984,0.08536585365853659,0.25,0.07079646017699115,5,210,16,15
fico_over_700,248,0.8911290322580645,0.842741935483871,0.10483870967741936,0.25925925925925924,0.08597285067873303,7,202,19,20
fico_over_750_dti_under_20,249,0.9036144578313253,0.8554216867469879,0.05622489959839357,0.041666666666666664,0.057777777777777775,1,212,13,23
fico_over_750_loan_under_20000,248,0.9153225806451613,0.8790322580645161,0.04435483870967742,0.047619047619047616,0.04405286343612335,1,217,10,20
loan_over_25000,245,0.746938775510204,0.7183673469387755,0.4122448979591837,0.7580645161290323,0.29508196721311475,47,129,54,15
loan_under_5000,244,0.5901639344262295,0.5491803278688525,0.8442622950819673,0.98,0.75,98,36,108,2
