condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.516,0.464,0.964,0.9421487603305785,0.9844961240310077,0.05199999999999999,114,2,127,7
lead_90_180,0.554,250,0.532,0.468,1.0,1.0,1.0,0.064,117,0,133,0
lead_30_90,0.622,250,0.6,0.404,0.964,0.96,0.9666666666666667,0.19599999999999995,96,5,145,4
no_prev_cancel,0.661,250,0.632,0.368,1.0,1.0,1.0,0.264,92,0,158,0
no_deposit,0.716,250,0.736,0.412,0.644,0.6060606060606061,0.657608695652174,0.324,40,63,121,26
has_special_requests,0.783,250,0.756,0.432,0.628,0.6229508196721312,0.6296296296296297,0.324,38,70,119,23
lead_under_30,0.818,250,0.708,0.372,0.856,0.8904109589041096,0.8418079096045198,0.33599999999999997,65,28,149,8
lead_under_30_special,0.866,249,0.7871485943775101,0.39357429718875503,0.7710843373493976,0.8867924528301887,0.7397959183673469,0.39357429718875503,47,51,145,6
lead_under_7,0.906,250,0.876,0.272,0.812,0.8387096774193549,0.8082191780821918,0.604,26,42,177,5
repeated_special,0.95,250,0.976,0.712,0.296,0.6666666666666666,0.28688524590163933,0.264,4,174,70,2
