condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_under_005,0.514,250,0.512,0.488,0.976,0.9754098360655737,0.9765625,0.02400000000000002,119,3,125,3
avg_diff_005_015,0.545,250,0.572,0.448,0.972,0.9906542056074766,0.958041958041958,0.12399999999999994,106,6,137,1
avg_diff_015_030,0.606,250,0.616,0.384,0.976,0.96875,0.9805194805194806,0.23199999999999998,93,3,151,3
avg_diff_030_050,0.667,250,0.644,0.376,0.948,0.9550561797752809,0.9440993788819876,0.268,85,9,152,4
avg_diff_050_070,0.732,250,0.728,0.312,0.936,0.9558823529411765,0.9285714285714286,0.416,65,13,169,3
avg_diff_070_100,0.801,250,0.76,0.336,0.832,0.85,0.8263157894736842,0.424,51,33,157,9
avg_diff_100_130,0.851,249,0.8554216867469879,0.30522088353413657,0.7670682730923695,0.75,0.7699530516431925,0.5502008032128514,27,49,164,9
avg_diff_130_160,0.888,250,0.888,0.432,0.576,0.5357142857142857,0.581081081081081,0.456,15,93,129,13
avg_diff_160_200,0.907,249,0.891566265060241,0.5100401606425703,0.5421686746987951,0.7407407407407407,0.5180180180180181,0.38152610441767065,20,107,115,7
avg_diff_over_200,0.942,245,0.9346938775510204,0.6122448979591837,0.4204081632653061,0.75,0.39737991266375544,0.3224489795918367,12,138,91,4
