condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,246,0.5447154471544715,0.45121951219512196,0.9959349593495935,0.9910714285714286,1.0,0.09349593495934955,111,0,134,1
fit_vs_fat,0.54,249,0.5983935742971888,0.40160642570281124,1.0,1.0,1.0,0.19678714859437751,100,0,149,0
high_vs_low_status,0.57,248,0.5403225806451613,0.4596774193548387,1.0,1.0,1.0,0.08064516129032256,114,0,134,0
legal_crossing,0.64,250,0.684,0.316,1.0,1.0,1.0,0.36800000000000005,79,0,171,0
one_more_person,0.67,250,0.62,0.38,0.992,0.9894736842105263,0.9935483870967742,0.24,94,1,154,1
young_vs_old,0.74,250,0.632,0.368,1.0,1.0,1.0,0.264,92,0,158,0
humans_vs_pets,0.79,250,0.712,0.292,0.996,1.0,0.9943820224719101,0.42,72,1,177,0
four_plus_more,0.84,250,0.736,0.264,1.0,1.0,1.0,0.472,66,0,184,0
legal_and_more,0.87,250,0.8,0.2,1.0,1.0,1.0,0.6000000000000001,50,0,200,0
legal_3plus_more,0.91,250,0.828,0.168,0.996,0.9767441860465116,1.0,0.6599999999999999,42,0,207,1
