condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_under_005,0.514,250,0.592,0.408,1.0,1.0,1.0,0.184,102,0,148,0
avg_diff_005_015,0.545,250,0.616,0.384,1.0,1.0,1.0,0.23199999999999998,96,0,154,0
avg_diff_015_030,0.606,250,0.628,0.372,1.0,1.0,1.0,0.256,93,0,157,0
avg_diff_030_050,0.667,250,0.688,0.312,1.0,1.0,1.0,0.37599999999999995,78,0,172,0
avg_diff_050_070,0.732,250,0.724,0.272,0.996,0.9855072463768116,1.0,0.45199999999999996,68,0,181,1
avg_diff_070_100,0.801,250,0.808,0.192,1.0,1.0,1.0,0.6160000000000001,48,0,202,0
avg_diff_100_130,0.851,250,0.852,0.148,1.0,1.0,1.0,0.704,37,0,213,0
avg_diff_130_160,0.888,250,0.884,0.116,1.0,1.0,1.0,0.768,29,0,221,0
avg_diff_160_200,0.907,250,0.936,0.064,1.0,1.0,1.0,0.8720000000000001,16,0,234,0
avg_diff_over_200,0.942,250,0.932,0.076,0.992,1.0,0.9914163090128756,0.8560000000000001,17,2,231,0
