condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,239,0.5313807531380753,0.48535564853556484,0.7824267782426778,0.7857142857142857,0.7795275590551181,0.04602510460251047,88,28,99,24
fit_vs_fat,0.54,231,0.5367965367965368,0.5238095238095238,0.7922077922077922,0.8411214953271028,0.75,0.012987012987012991,90,31,93,17
high_vs_low_status,0.57,247,0.4979757085020243,0.562753036437247,0.6963562753036437,0.7580645161290323,0.6341463414634146,-0.06477732793522267,94,45,78,30
legal_crossing,0.64,241,0.5726141078838174,0.5269709543568465,0.7095435684647303,0.7766990291262136,0.6594202898550725,0.0456431535269709,80,47,91,23
one_more_person,0.67,243,0.5432098765432098,0.5596707818930041,0.6831275720164609,0.7657657657657657,0.6136363636363636,-0.016460905349794275,85,51,81,26
young_vs_old,0.74,243,0.5308641975308642,0.49794238683127573,0.7818930041152263,0.7982456140350878,0.7674418604651163,0.032921810699588494,91,30,99,23
humans_vs_pets,0.79,244,0.5081967213114754,0.5245901639344263,0.6721311475409836,0.7,0.6451612903225806,-0.016393442622950838,84,44,80,36
four_plus_more,0.84,244,0.48770491803278687,0.6065573770491803,0.6680327868852459,0.768,0.5630252100840336,-0.11885245901639346,96,52,67,29
legal_and_more,0.87,242,0.5041322314049587,0.5330578512396694,0.6652892561983471,0.7,0.6311475409836066,-0.02892561983471076,84,45,77,36
legal_3plus_more,0.91,245,0.5020408163265306,0.5469387755102041,0.6081632653061224,0.6557377049180327,0.5609756097560976,-0.04489795918367345,80,54,69,42
