condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.48,0.504,0.904,0.8923076923076924,0.9166666666666666,-0.02400000000000002,116,10,110,14
lead_90_180,0.554,250,0.528,0.448,0.896,0.864406779661017,0.9242424242424242,0.08000000000000002,102,10,122,16
lead_30_90,0.622,250,0.556,0.448,0.884,0.8738738738738738,0.8920863309352518,0.10800000000000004,97,15,124,14
no_prev_cancel,0.661,250,0.652,0.376,0.924,0.9310344827586207,0.9202453987730062,0.276,81,13,150,6
no_deposit,0.716,250,0.724,0.328,0.9,0.9130434782608695,0.8950276243093923,0.39599999999999996,63,19,162,6
has_special_requests,0.783,250,0.74,0.304,0.9,0.8923076923076924,0.9027027027027027,0.436,58,18,167,7
lead_under_30,0.818,250,0.816,0.216,0.944,0.9347826086956522,0.946078431372549,0.6,43,11,193,3
lead_under_30_special,0.866,250,0.872,0.188,0.916,0.90625,0.9174311926605505,0.6839999999999999,29,18,200,3
lead_under_7,0.906,250,0.88,0.204,0.908,0.9666666666666667,0.9,0.676,29,22,198,1
repeated_special,0.95,250,0.912,0.212,0.86,0.9090909090909091,0.8552631578947368,0.7000000000000001,20,33,195,2
