condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_under_005,0.514,15,0.5333333333333333,0.4666666666666667,0.6,0.5714285714285714,0.625,0.06666666666666665,4,3,5,3
avg_diff_005_015,0.545,17,0.5882352941176471,0.4117647058823529,0.7647058823529411,0.7142857142857143,0.8,0.17647058823529416,5,2,8,2
avg_diff_015_030,0.606,16,0.375,0.4375,0.0625,0.1,0.0,-0.0625,1,6,0,9
avg_diff_030_050,0.667,32,0.625,0.59375,0.09375,0.08333333333333333,0.1,0.03125,1,18,2,11
avg_diff_050_070,0.732,36,0.8055555555555556,0.8611111111111112,0.05555555555555555,0.2857142857142857,0.0,-0.05555555555555558,2,29,0,5
avg_diff_070_100,0.801,53,0.7924528301886793,0.7735849056603774,0.018867924528301886,0.0,0.023809523809523808,0.018867924528301883,0,41,1,11
avg_diff_100_130,0.851,57,0.8771929824561403,0.8771929824561403,0.0,0.0,0.0,0.0,0,50,0,7
avg_diff_130_160,0.888,62,0.9193548387096774,0.9193548387096774,0.0,0.0,0.0,0.0,0,57,0,5
avg_diff_160_200,0.907,72,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,0,66,0,6
avg_diff_over_200,0.942,118,0.923728813559322,0.923728813559322,0.0,0.0,0.0,0.0,0,109,0,9
