condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
avg_diff_under_005,0.514,250,0.544,0.456,1.0,1.0,1.0,0.08800000000000002,114,0,136,0
avg_diff_005_015,0.545,250,0.616,0.384,1.0,1.0,1.0,0.23199999999999998,96,0,154,0
avg_diff_015_030,0.606,250,0.628,0.372,1.0,1.0,1.0,0.256,93,0,157,0
avg_diff_030_050,0.667,250,0.66,0.34,1.0,1.0,1.0,0.32,85,0,165,0
avg_diff_050_070,0.732,250,0.712,0.304,0.968,0.9722222222222222,0.9662921348314607,0.408,70,6,172,2
avg_diff_070_100,0.801,250,0.836,0.276,0.88,0.975609756097561,0.861244019138756,0.5599999999999999,40,29,180,1
avg_diff_100_130,0.851,250,0.848,0.368,0.712,0.7631578947368421,0.7028301886792453,0.48,29,63,149,9
avg_diff_130_160,0.888,250,0.888,0.284,0.796,0.8571428571428571,0.7882882882882883,0.6040000000000001,24,47,175,4
avg_diff_160_200,0.907,250,0.936,0.208,0.84,0.875,0.8376068376068376,0.7280000000000001,14,38,196,2
avg_diff_over_200,0.942,250,0.948,0.256,0.78,0.8461538461538461,0.7763713080168776,0.692,11,53,184,2
