condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_troll,0.52,250,0.704,0.616,0.392,0.5135135135135135,0.3409090909090909,0.08799999999999997,38,116,60,36
contains_vandal,0.61,250,0.748,0.668,0.304,0.4444444444444444,0.25668449197860965,0.07999999999999996,28,139,48,35
contains_stop,0.67,250,0.756,0.668,0.264,0.36065573770491804,0.2328042328042328,0.08799999999999997,22,145,44,39
contains_love,0.74,250,0.844,0.808,0.18,0.46153846153846156,0.12796208530805686,0.03599999999999992,18,184,27,21
contains_wikipedia,0.85,250,0.928,0.84,0.168,0.5555555555555556,0.13793103448275862,0.08800000000000008,10,200,32,8
contains_page,0.87,250,0.928,0.86,0.124,0.3888888888888889,0.10344827586206896,0.06800000000000006,7,208,24,11
contains_article,0.92,250,0.904,0.852,0.116,0.3333333333333333,0.09292035398230089,0.052000000000000046,8,205,21,16
contains_please,0.92,250,0.924,0.848,0.108,0.21052631578947367,0.09956709956709957,0.07600000000000007,4,208,23,15
contains_link,0.94,250,0.916,0.912,0.084,0.47619047619047616,0.048034934497816595,0.0040000000000000036,10,218,11,11
contains_thank,0.96,250,0.972,0.924,0.072,0.42857142857142855,0.06172839506172839,0.04799999999999993,3,228,15,4
