condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
contains_article,250,0.884,0.652,0.44,0.896551724137931,0.38009049773755654,26,137,84,3
contains_link,250,0.888,0.708,0.388,0.9285714285714286,0.31981981981981983,26,151,71,2
contains_love,250,0.768,0.536,0.672,0.9482758620689655,0.5885416666666666,55,79,113,3
contains_page,250,0.868,0.68,0.436,0.9393939393939394,0.35944700460829493,31,139,78,2
contains_please,250,0.892,0.592,0.5,0.9259259259259259,0.4484304932735426,25,123,100,2
contains_stop,250,0.632,0.508,0.844,0.9782608695652174,0.7658227848101266,90,37,121,2
contains_thank,250,0.932,0.772,0.288,0.9411764705882353,0.24034334763948498,16,177,56,1
contains_troll,250,0.692,0.396,0.896,0.974025974025974,0.861271676300578,75,24,149,2
contains_vandal,250,0.736,0.412,0.812,0.9242424242424242,0.7717391304347826,61,42,142,5
contains_wikipedia,250,0.872,0.6,0.528,1.0,0.45871559633027525,32,118,100,0
