condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
contains_thank,0,250,0.952,0.924,0.052,0,0,0,3,228,10,9
contains_vandal,0,250,0.64,0.632,0.144,0,0,0,17,141,19,73
contains_troll,0,250,0.632,0.624,0.136,0,0,0,16,140,18,76
contains_stop,0,250,0.756,0.7,0.128,0,0,0,9,166,23,52
contains_link,0,250,0.9,0.888,0.076,0,0,0,8,214,11,17
contains_page,0,250,0.912,0.864,0.072,0,0,0,3,213,15,19
contains_love,0,250,0.792,0.768,0.08,0,0,0,7,185,13,45
contains_wikipedia,0,250,0.872,0.832,0.088,0,0,0,6,202,16,26
contains_please,0,250,0.952,0.94,0.036,0,0,0,3,232,6,9
contains_article,0,250,0.876,0.852,0.08,0,0,0,7,206,13,24
