condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
avg_diff_005_015,250,0.556,0.444,1.0,1.0,1.0,111,0,139,0
avg_diff_015_030,250,0.58,0.412,0.952,0.9333333333333333,0.9655172413793104,98,5,140,7
avg_diff_030_050,250,0.688,0.316,0.988,0.9871794871794872,0.9883720930232558,77,2,170,1
avg_diff_050_070,249,0.7269076305220884,0.30522088353413657,0.9196787148594378,0.9117647058823529,0.9226519337016574,62,14,167,6
avg_diff_070_100,250,0.812,0.324,0.72,0.6170212765957447,0.7438423645320197,29,52,151,18
avg_diff_100_130,250,0.88,0.464,0.544,0.5333333333333333,0.5454545454545454,16,100,120,14
avg_diff_130_160,250,0.904,0.632,0.32,0.25,0.3274336283185841,6,152,74,18
avg_diff_160_200,248,0.9032258064516129,0.7459677419354839,0.2056451612903226,0.25,0.20089285714285715,6,179,45,18
avg_diff_over_200,250,0.952,0.672,0.328,0.5,0.31932773109243695,6,162,76,6
avg_diff_under_005,248,0.49193548387096775,0.5080645161290323,1.0,1.0,1.0,126,0,122,0
