condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
contains_article,250,0.872,0.84,0.216,0.71875,0.14220183486238533,23,187,31,9
contains_link,250,0.884,0.896,0.156,0.7241379310344828,0.08144796380090498,21,203,18,8
contains_love,250,0.792,0.728,0.344,0.6730769230769231,0.25757575757575757,35,147,51,17
contains_page,250,0.908,0.816,0.18,0.4782608695652174,0.14977973568281938,11,193,34,12
contains_please,250,0.884,0.812,0.28,0.896551724137931,0.19909502262443438,26,177,44,3
contains_stop,250,0.716,0.636,0.528,0.7887323943661971,0.4245810055865922,56,103,76,15
contains_thank,250,0.936,0.912,0.128,0.8125,0.0811965811965812,13,215,19,3
contains_troll,249,0.6224899598393574,0.5100401606425703,0.7389558232931727,0.8297872340425532,0.6838709677419355,78,49,106,16
contains_vandal,245,0.7346938775510204,0.5551020408163265,0.5551020408163265,0.7076923076923077,0.5,46,90,90,19
contains_wikipedia,250,0.848,0.836,0.26,0.8157894736842105,0.16037735849056603,31,178,34,7
