condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.476,0.524,1.0,1.0,1.0,-0.04800000000000004,131,0,119,0
lead_90_180,0.554,250,0.528,0.472,1.0,1.0,1.0,0.05600000000000005,118,0,132,0
lead_30_90,0.622,250,0.56,0.444,0.988,0.990909090909091,0.9857142857142858,0.11600000000000005,109,2,138,1
no_prev_cancel,0.661,250,0.652,0.396,0.888,0.9080459770114943,0.8773006134969326,0.256,79,20,143,8
no_deposit,0.716,250,0.724,0.436,0.624,0.6086956521739131,0.6298342541436464,0.288,42,67,114,27
has_special_requests,0.783,250,0.74,0.324,0.88,0.8923076923076924,0.8756756756756757,0.416,58,23,162,7
lead_under_30,0.818,250,0.816,0.184,1.0,1.0,1.0,0.6319999999999999,46,0,204,0
lead_under_30_special,0.866,250,0.872,0.368,0.696,0.75,0.6880733944954128,0.504,24,68,150,8
lead_under_7,0.906,250,0.876,0.128,0.996,1.0,0.9954337899543378,0.748,31,1,218,0
repeated_special,0.95,250,0.932,0.924,0.008,0.0,0.008583690987124463,0.008000000000000007,0,231,2,17
