condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
female_vs_male,239,0.5439330543933054,0.4560669456066946,0.9832635983263598,0.981651376146789,0.9846153846153847,107,2,128,2
fit_vs_fat,237,0.5569620253164557,0.45147679324894513,0.9915611814345991,1.0,0.9848484848484849,105,2,130,0
four_plus_more,241,0.5933609958506224,0.4896265560165975,0.8174273858921162,0.8775510204081632,0.7762237762237763,86,32,111,12
high_vs_low_status,201,0.5174129353233831,0.4925373134328358,0.9601990049751243,0.9690721649484536,0.9519230769230769,94,5,99,3
humans_vs_pets,245,0.7795918367346939,0.4122448979591837,0.6775510204081633,0.7037037037037037,0.6701570680628273,38,63,128,16
legal_3plus_more,250,0.76,0.472,0.72,0.9,0.6631578947368421,54,64,126,6
legal_and_more,250,0.8,0.388,0.724,0.78,0.71,39,58,142,11
legal_crossing,237,0.7088607594936709,0.39662447257383965,0.7932489451476793,0.8260869565217391,0.7797619047619048,57,37,131,12
one_more_person,213,0.5633802816901409,0.431924882629108,0.92018779342723,0.9032258064516129,0.9333333333333333,84,8,112,9
young_vs_old,248,0.7096774193548387,0.3346774193548387,0.8588709677419355,0.8333333333333334,0.8693181818181818,60,23,153,12
