condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
dti_over_30,0.51,25,0.44,0.56,1.0,1.0,1.0,-0.12000000000000005,14,0,11,0
loan_under_5000,0.53,25,0.48,0.56,0.88,0.9230769230769231,0.8333333333333334,-0.08000000000000007,12,2,10,1
dti_over_25,0.64,25,0.6,0.4,0.92,0.9,0.9333333333333333,0.19999999999999996,9,1,14,1
dti_under_10,0.67,25,0.64,0.44,0.92,1.0,0.875,0.2,9,2,14,0
loan_over_25000,0.75,25,0.84,0.36,0.8,1.0,0.7619047619047619,0.48,4,5,16,0
fico_650_680,0.83,25,0.92,0.88,0.04,0.0,0.043478260869565216,0.040000000000000036,0,22,1,2
fico_650_700_dti_under_20,0.9,25,0.96,0.68,0.28,0.0,0.2916666666666667,0.2799999999999999,0,17,7,1
fico_over_700,0.91,25,0.84,0.84,0.08,0.25,0.047619047619047616,0.0,1,20,1,3
fico_over_750_dti_under_20,0.92,25,0.96,0.76,0.2,0.0,0.20833333333333334,0.19999999999999996,0,19,5,1
fico_over_750_loan_under_20000,0.93,25,0.84,0.84,0.08,0.25,0.047619047619047616,0.0,1,20,1,3
