condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
has_special_requests,243,0.7530864197530864,0.7448559670781894,0.01646090534979424,0.016666666666666666,0.01639344262295082,1,180,3,59
lead_30_90,204,0.5686274509803921,0.5,0.17647058823529413,0.125,0.21551724137931033,11,91,25,77
lead_90_180,221,0.5384615384615384,0.40271493212669685,0.6515837104072398,0.5588235294117647,0.7310924369747899,57,32,87,45
lead_under_30,242,0.8181818181818182,0.8140495867768595,0.004132231404958678,0.0,0.005050505050505051,0,197,1,44
lead_under_30_special,48,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0,0,41,0,7
lead_under_7,244,0.9180327868852459,0.9139344262295082,0.004098360655737705,0.0,0.004464285714285714,0,223,1,20
no_deposit,250,0.736,0.732,0.036,0.06060606060606061,0.02717391304347826,4,179,5,62
no_prev_cancel,247,0.6356275303643725,0.6234817813765182,0.05263157894736842,0.05555555555555555,0.050955414012738856,5,149,8,85
no_special_requests,246,0.5121951219512195,0.5528455284552846,0.7154471544715447,0.775,0.6587301587301587,93,43,83,27
repeated_special,249,0.9759036144578314,0.9759036144578314,0.0,0.0,0.0,0,243,0,6
