condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
contains_article,218,0.9174311926605505,0.9036697247706422,0.013761467889908258,0.0,0.015,0,197,3,18
contains_link,226,0.9601769911504425,0.9601769911504425,0.0,0.0,0.0,0,217,0,9
contains_love,206,0.8543689320388349,0.8689320388349514,0.014563106796116505,0.1,0.0,3,176,0,27
contains_page,231,0.9307359307359307,0.9177489177489178,0.012987012987012988,0.0,0.013953488372093023,0,212,3,16
contains_please,227,0.960352422907489,0.947136563876652,0.013215859030837005,0.0,0.013761467889908258,0,215,3,9
contains_stop,227,0.7797356828193832,0.7400881057268722,0.05726872246696035,0.04,0.062146892655367235,2,166,11,48
contains_thank,239,0.9623430962343096,0.9707112970711297,0.008368200836820083,0.2222222222222222,0.0,2,230,0,7
contains_troll,218,0.6743119266055045,0.5642201834862385,0.21100917431192662,0.15492957746478872,0.23809523809523808,11,112,35,60
contains_vandal,227,0.7092511013215859,0.7224669603524229,0.14537444933920704,0.2727272727272727,0.09316770186335403,18,146,15,48
contains_wikipedia,215,0.9395348837209302,0.9302325581395349,0.027906976744186046,0.15384615384615385,0.019801980198019802,2,198,4,11
