condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,219,0.5251141552511416,0.4840182648401826,0.9908675799086758,1.0,0.9826086956521739,0.04109589041095896,104,2,113,0
fit_vs_fat,0.54,225,0.5422222222222223,0.4666666666666667,0.9644444444444444,0.970873786407767,0.9590163934426229,0.0755555555555556,100,5,117,3
high_vs_low_status,0.57,202,0.5,0.504950495049505,0.9851485148514851,0.9900990099009901,0.9801980198019802,-0.004950495049504955,100,2,99,1
legal_crossing,0.64,227,0.6696035242290749,0.3832599118942731,0.920704845814978,0.96,0.9013157894736842,0.28634361233480177,72,15,137,3
one_more_person,0.67,247,0.611336032388664,0.4008097165991903,0.9473684210526315,0.9479166666666666,0.9470198675496688,0.21052631578947367,91,8,143,5
young_vs_old,0.74,241,0.6224066390041494,0.3900414937759336,0.979253112033195,0.989010989010989,0.9733333333333334,0.23236514522821577,90,4,146,1
humans_vs_pets,0.79,248,0.717741935483871,0.3225806451612903,0.9354838709677419,0.9571428571428572,0.9269662921348315,0.3951612903225807,67,13,165,3
four_plus_more,0.84,246,0.6869918699186992,0.35772357723577236,0.9146341463414634,0.935064935064935,0.9053254437869822,0.32926829268292684,72,16,153,5
legal_and_more,0.87,249,0.7751004016064257,0.2891566265060241,0.9196787148594378,0.9642857142857143,0.9067357512953368,0.4859437751004016,54,18,175,2
legal_3plus_more,0.91,247,0.8178137651821862,0.2550607287449393,0.9190283400809717,0.9777777777777777,0.905940594059406,0.5627530364372468,44,19,183,1
