condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
dti_over_25,250,0.776,0.324,0.892,0.9821428571428571,0.865979381443299,55,26,168,1
dti_over_30,250,0.732,0.32,0.948,1.0,0.9289617486338798,67,13,170,0
dti_under_10,250,0.768,0.492,0.716,0.9482758620689655,0.6458333333333334,55,68,124,3
fico_650_680,250,0.868,0.256,0.852,0.9090909090909091,0.8433179723502304,30,34,183,3
fico_650_700_dti_under_20,250,0.916,0.752,0.252,0.5238095238095238,0.22707423580786026,11,177,52,10
fico_over_700,250,0.892,0.896,0.132,0.6296296296296297,0.07174887892376682,17,207,16,10
fico_over_750_dti_under_20,249,0.8995983935742972,0.9036144578313253,0.012048192771084338,0.08,0.004464285714285714,2,223,1,23
fico_over_750_loan_under_20000,250,0.916,0.876,0.08,0.23809523809523808,0.06550218340611354,5,214,15,16
loan_over_25000,250,0.812,0.508,0.624,0.851063829787234,0.5714285714285714,40,87,116,7
loan_under_5000,250,0.772,0.368,0.86,1.0,0.8186528497409327,57,35,158,0
