condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,248,0.5564516129032258,0.5443548387096774,0.10080645161290322,0.1,0.10144927536231885,0.012096774193548376,11,124,14,99
lead_90_180,0.554,250,0.552,0.516,0.14,0.11607142857142858,0.15942028985507245,0.03600000000000003,13,116,22,99
lead_30_90,0.622,250,0.612,0.572,0.12,0.10309278350515463,0.13071895424836602,0.040000000000000036,10,133,20,87
no_prev_cancel,0.661,250,0.628,0.584,0.092,0.06451612903225806,0.10828025477707007,0.04400000000000004,6,140,17,87
no_deposit,0.716,250,0.752,0.672,0.128,0.0967741935483871,0.13829787234042554,0.07999999999999996,6,162,26,56
has_special_requests,0.783,250,0.756,0.68,0.22,0.29508196721311475,0.19576719576719576,0.07599999999999996,18,152,37,43
lead_under_30,0.818,250,0.808,0.748,0.092,0.08333333333333333,0.09405940594059406,0.06000000000000005,4,183,19,44
lead_under_30_special,0.866,250,0.836,0.652,0.264,0.24390243902439024,0.2679425837320574,0.18399999999999994,10,153,56,31
lead_under_7,0.906,250,0.912,0.82,0.116,0.13636363636363635,0.11403508771929824,0.09200000000000008,3,202,26,19
repeated_special,0.95,250,0.916,0.872,0.196,0.9047619047619048,0.13100436681222707,0.04400000000000004,19,199,30,2
