condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
avg_diff_005_015,232,0.5344827586206896,0.5086206896551724,0.5775862068965517,0.5925925925925926,0.5645161290322581,64,54,70,44
avg_diff_015_030,247,0.5546558704453441,0.5060728744939271,0.48582995951417,0.4909090909090909,0.48175182481751827,54,71,66,56
avg_diff_030_050,248,0.6491935483870968,0.5080645161290323,0.4475806451612903,0.4367816091954023,0.453416149068323,38,88,73,49
avg_diff_050_070,247,0.7004048582995951,0.4777327935222672,0.5141700404858299,0.4864864864864865,0.5260115606936416,36,82,91,38
avg_diff_070_100,250,0.78,0.536,0.404,0.36363636363636365,0.4153846153846154,20,114,81,35
avg_diff_100_130,246,0.8577235772357723,0.6788617886178862,0.2926829268292683,0.4,0.27488151658767773,14,153,58,21
avg_diff_130_160,247,0.8502024291497976,0.6558704453441295,0.3481781376518219,0.5135135135135135,0.319047619047619,19,143,67,18
avg_diff_160_200,248,0.8669354838709677,0.6612903225806451,0.3185483870967742,0.42424242424242425,0.3023255813953488,14,150,65,19
avg_diff_over_200,247,0.9230769230769231,0.6680161943319838,0.31983805668016196,0.42105263157894735,0.31140350877192985,8,157,71,11
avg_diff_under_005,231,0.5281385281385281,0.47619047619047616,0.6060606060606061,0.5871559633027523,0.6229508196721312,64,46,76,45
