condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
fico_over_700,0,250,0.896,0.184,0.904,0,0,0,24,22,202,2
dti_under_10,0,250,0.66,0.404,0.928,0,0,0,84,17,148,1
fico_over_750_dti_under_20,0,250,0.9,0.812,0.184,0,0,0,12,191,34,13
fico_over_750_loan_under_20000,0,250,0.948,0.824,0.188,0,0,0,8,198,39,5
loan_over_25000,0,250,0.72,0.3,0.98,0,0,0,70,5,175,0
dti_over_30,0,250,0.496,0.504,1.0,0,0,0,126,0,124,0
dti_over_25,0,250,0.672,0.332,0.996,0,0,0,82,1,167,0
fico_650_700_dti_under_20,0,250,0.892,0.86,0.104,0,0,0,9,206,17,18
loan_under_5000,0,250,0.496,0.508,0.988,0,0,0,125,2,122,1
fico_650_680,0,250,0.82,0.824,0.124,0,0,0,16,190,15,29
