condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
dti_over_30,0.51,250,0.84,0.256,0.896,0.975,0.8809523809523809,0.584,39,25,185,1
loan_under_5000,0.53,250,0.804,0.308,0.88,0.9795918367346939,0.8557213930348259,0.49600000000000005,48,29,172,1
dti_over_25,0.64,250,0.864,0.3,0.836,1.0,0.8101851851851852,0.5640000000000001,34,41,175,0
dti_under_10,0.67,250,0.868,0.34,0.784,0.9696969696969697,0.7557603686635944,0.528,32,53,164,1
loan_over_25000,0.75,241,0.8589211618257261,0.38589211618257263,0.7468879668049793,0.9705882352941176,0.7101449275362319,0.47302904564315346,33,60,147,1
fico_650_680,0.83,250,0.904,0.228,0.868,1.0,0.8539823008849557,0.676,24,33,193,0
fico_650_700_dti_under_20,0.9,250,0.916,0.252,0.832,1.0,0.8165938864628821,0.664,21,42,187,0
fico_over_700,0.91,250,0.904,0.384,0.696,0.9166666666666666,0.672566371681416,0.52,22,74,152,2
fico_over_750_dti_under_20,0.92,250,0.9,0.448,0.604,0.76,0.5866666666666667,0.452,19,93,132,6
fico_over_750_loan_under_20000,0.93,250,0.924,0.368,0.668,0.7368421052631579,0.6623376623376623,0.556,14,78,153,5
