condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
avg_diff_005_015,250,0.556,0.456,0.932,0.9369369369369369,0.9280575539568345,104,10,129,7
avg_diff_015_030,250,0.576,0.452,0.852,0.8584905660377359,0.8472222222222222,91,22,122,15
avg_diff_030_050,250,0.672,0.388,0.764,0.7317073170731707,0.7797619047619048,60,37,131,22
avg_diff_050_070,250,0.716,0.448,0.668,0.704225352112676,0.6536312849162011,50,62,117,21
avg_diff_070_100,250,0.804,0.468,0.576,0.6122448979591837,0.5671641791044776,30,87,114,19
avg_diff_100_130,250,0.872,0.62,0.42,0.65625,0.3853211009174312,21,134,84,11
avg_diff_130_160,250,0.904,0.752,0.216,0.3333333333333333,0.20353982300884957,8,180,46,16
avg_diff_160_200,250,0.9,0.832,0.156,0.44,0.12444444444444444,11,197,28,14
avg_diff_over_200,250,0.94,0.604,0.384,0.4,0.3829787234042553,6,145,90,9
avg_diff_under_005,249,0.5220883534136547,0.46586345381526106,0.9879518072289156,0.9747899159663865,1.0,116,0,130,3
