condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,250,0.552,0.44,0.552,0.49107142857142855,0.6014492753623188,0.11200000000000004,55,55,83,57
lead_90_180,0.554,250,0.556,0.468,0.544,0.5135135135135135,0.5683453237410072,0.08800000000000002,57,60,79,54
lead_30_90,0.622,250,0.604,0.472,0.556,0.5353535353535354,0.5695364238410596,0.132,53,65,86,46
no_prev_cancel,0.661,250,0.628,0.452,0.552,0.5053763440860215,0.5796178343949044,0.176,47,66,91,46
no_deposit,0.716,244,0.7540983606557377,0.47950819672131145,0.5614754098360656,0.5833333333333334,0.5543478260869565,0.2745901639344262,35,82,102,25
has_special_requests,0.783,250,0.752,0.432,0.624,0.6129032258064516,0.6276595744680851,0.32,38,70,118,24
lead_under_30,0.818,250,0.812,0.512,0.524,0.5957446808510638,0.5073891625615764,0.30000000000000004,28,100,103,19
lead_under_30_special,0.866,250,0.812,0.488,0.58,0.6808510638297872,0.5566502463054187,0.32400000000000007,32,90,113,15
lead_under_7,0.906,250,0.908,0.444,0.568,0.5652173913043478,0.5682819383259912,0.464,13,98,129,10
repeated_special,0.95,250,0.888,0.68,0.336,0.5714285714285714,0.3063063063063063,0.20799999999999996,16,154,68,12
