condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
dti_over_30,0.51,250,0.88,0.12,1.0,1.0,1.0,0.76,30,0,220,0
loan_under_5000,0.53,250,0.656,0.368,0.968,0.9883720930232558,0.9573170731707317,0.28800000000000003,85,7,157,1
dti_over_25,0.64,250,0.756,0.264,0.98,1.0,0.9735449735449735,0.492,61,5,184,0
dti_under_10,0.67,250,0.68,0.352,0.936,0.95,0.9294117647058824,0.32800000000000007,76,12,158,4
loan_over_25000,0.75,250,0.756,0.376,0.844,0.9508196721311475,0.8095238095238095,0.38,58,36,153,3
fico_650_680,0.83,250,0.828,0.636,0.408,0.627906976744186,0.36231884057971014,0.19199999999999995,27,132,75,16
fico_650_700_dti_under_20,0.9,250,0.892,0.824,0.1,0.14814814814814814,0.09417040358744394,0.06800000000000006,4,202,21,23
fico_over_700,0.91,250,0.896,0.76,0.216,0.38461538461538464,0.19642857142857142,0.136,10,180,44,16
fico_over_750_dti_under_20,0.92,250,0.896,0.772,0.148,0.11538461538461539,0.15178571428571427,0.124,3,190,34,23
fico_over_750_loan_under_20000,0.93,250,0.944,0.884,0.108,0.42857142857142855,0.08898305084745763,0.05999999999999994,6,215,21,8
