condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
has_special_requests,250,0.756,0.256,0.964,0.9508196721311475,0.9682539682539683,58,6,183,3
lead_30_90,249,0.6024096385542169,0.41767068273092367,0.8995983935742972,0.898989898989899,0.9,89,15,135,10
lead_90_180,242,0.5619834710743802,0.4462809917355372,0.9752066115702479,0.9811320754716981,0.9705882352941176,104,4,132,2
lead_under_30,249,0.7911646586345381,0.24096385542168675,0.9518072289156626,0.9615384615384616,0.949238578680203,50,10,187,2
lead_under_30_special,250,0.832,0.484,0.524,0.5238095238095238,0.5240384615384616,22,99,109,20
lead_under_7,243,0.8724279835390947,0.13168724279835392,0.9958847736625515,1.0,0.9952830188679245,31,1,211,0
no_deposit,250,0.708,0.44,0.588,0.547945205479452,0.6045197740112994,40,70,107,33
no_prev_cancel,250,0.632,0.38,0.98,0.9891304347826086,0.9746835443037974,91,4,154,1
no_special_requests,250,0.516,0.488,0.996,1.0,0.9922480620155039,121,1,128,0
repeated_special,250,0.976,0.948,0.036,0.16666666666666666,0.03278688524590164,1,236,8,5
