condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
dti_over_30,0.51,250,0.912,0.272,0.808,0.9545454545454546,0.793859649122807,0.64,21,47,181,1
loan_under_5000,0.53,250,0.84,0.288,0.864,0.975,0.8428571428571429,0.552,39,33,177,1
dti_over_25,0.64,250,0.888,0.208,0.896,0.9642857142857143,0.8873873873873874,0.68,27,25,197,1
dti_under_10,0.67,250,0.856,0.24,0.904,1.0,0.8878504672897196,0.616,36,24,190,0
loan_over_25000,0.75,250,0.888,0.2,0.904,0.9642857142857143,0.8963963963963963,0.688,27,23,199,1
fico_650_680,0.83,250,0.88,0.164,0.948,0.9666666666666667,0.9454545454545454,0.716,29,12,208,1
fico_650_700_dti_under_20,0.9,250,0.892,0.132,0.976,1.0,0.9730941704035875,0.76,27,6,217,0
fico_over_700,0.91,250,0.904,0.12,0.976,1.0,0.9734513274336283,0.784,24,6,220,0
fico_over_750_dti_under_20,0.92,250,0.892,0.224,0.868,0.9259259259259259,0.8609865470852018,0.668,25,31,192,2
fico_over_750_loan_under_20000,0.93,250,0.96,0.124,0.916,1.0,0.9125,0.836,10,21,219,0
