condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
lead_90_180,0,263,0.532319391634981,0.5095057034220533,0.6159695817490495,0.6341463414634146,0.6,0.02281368821292773,78,56,84,45
lead_under_30_special,0,250,0.872,0.556,0.42,0.40625,0.42201834862385323,0.31599999999999995,13,126,92,19
lead_30_90,0,250,0.56,0.464,0.344,0.2818181818181818,0.39285714285714285,0.09600000000000003,31,85,55,79
has_special_requests,0,250,0.74,0.488,0.572,0.6153846153846154,0.5567567567567567,0.252,40,82,103,25
no_deposit,0,250,0.724,0.288,0.948,0.927536231884058,0.9558011049723757,0.436,64,8,173,5
lead_under_30,0,250,0.828,0.444,0.56,0.5116279069767442,0.5700483091787439,0.38399999999999995,22,89,118,21
no_prev_cancel,0,250,0.652,0.392,0.812,0.7931034482758621,0.8220858895705522,0.26,69,29,134,18
no_special_requests,0,250,0.48,0.508,0.9,0.8923076923076924,0.9083333333333333,-0.028000000000000025,116,11,109,14
lead_under_7,0,250,0.872,0.56,0.408,0.375,0.41284403669724773,0.31199999999999994,12,128,90,20
repeated_special,0,250,0.932,0.472,0.556,0.7058823529411765,0.5450643776824035,0.4600000000000001,12,106,127,5
