condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
no_special_requests,0.523,25,0.56,0.36,0.92,0.8181818181818182,1.0,0.20000000000000007,9,0,14,2
lead_90_180,0.554,25,0.4,0.6,0.92,0.9333333333333333,0.9,-0.19999999999999996,14,1,9,1
lead_30_90,0.622,25,0.56,0.6,0.84,1.0,0.7142857142857143,-0.039999999999999925,11,4,10,0
no_prev_cancel,0.661,25,0.48,0.52,0.84,0.8461538461538461,0.8333333333333334,-0.040000000000000036,11,2,10,2
no_deposit,0.716,25,0.64,0.44,0.52,0.4444444444444444,0.5625,0.2,4,7,9,5
has_special_requests,0.783,25,0.76,0.72,0.2,0.3333333333333333,0.15789473684210525,0.040000000000000036,2,16,3,4
lead_under_30,0.818,25,0.84,0.64,0.28,0.25,0.2857142857142857,0.19999999999999996,1,15,6,3
lead_under_30_special,0.866,25,0.88,0.76,0.2,0.3333333333333333,0.18181818181818182,0.12,1,18,4,2
lead_under_7,0.906,25,0.92,0.56,0.36,0.0,0.391304347826087,0.36,0,14,9,2
repeated_special,0.95,25,1.0,0.96,0.04,,0.04,0.040000000000000036,0,24,1,0
