condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,25,0.52,0.56,0.92,1.0,0.8461538461538461,-0.040000000000000036,12,2,11,0
fit_vs_fat,0.54,25,0.52,0.36,0.88,0.75,1.0,0.16000000000000003,9,0,13,3
high_vs_low_status,0.57,25,0.56,0.44,0.68,0.6363636363636364,0.7142857142857143,0.12000000000000005,7,4,10,4
legal_crossing,0.64,25,0.68,0.68,0.48,0.75,0.35294117647058826,0.0,6,11,6,2
one_more_person,0.67,25,0.44,0.4,0.68,0.5714285714285714,0.8181818181818182,0.03999999999999998,8,2,9,6
young_vs_old,0.74,25,0.92,0.64,0.44,1.0,0.391304347826087,0.28,2,14,9,0
humans_vs_pets,0.79,25,0.8,0.6,0.28,0.2,0.3,0.20000000000000007,1,14,6,4
four_plus_more,0.84,25,0.76,0.64,0.36,0.5,0.3157894736842105,0.12,3,13,6,3
legal_and_more,0.87,25,0.96,0.6,0.36,0.0,0.375,0.36,0,15,9,1
legal_3plus_more,0.91,25,0.84,0.52,0.4,0.25,0.42857142857142855,0.31999999999999995,1,12,9,3
