condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
dti_over_25,250,0.7,0.304,0.996,1.0,0.9942857142857143,75,1,174,0
dti_over_30,250,0.508,0.5,0.992,1.0,0.984251968503937,123,2,125,0
dti_under_10,250,0.7,0.32,0.98,1.0,0.9714285714285714,75,5,170,0
fico_650_680,250,0.868,0.156,0.952,0.9090909090909091,0.9585253456221198,30,9,208,3
fico_650_700_dti_under_20,250,0.916,0.128,0.932,0.8571428571428571,0.9388646288209607,18,14,215,3
fico_over_700,250,0.892,0.468,0.616,0.8888888888888888,0.5829596412556054,24,93,130,3
fico_over_750_dti_under_20,250,0.896,0.416,0.608,0.6153846153846154,0.6071428571428571,16,88,136,10
fico_over_750_loan_under_20000,250,0.916,0.6,0.388,0.42857142857142855,0.38427947598253276,9,141,88,12
loan_over_25000,250,0.748,0.252,1.0,1.0,1.0,63,0,187,0
loan_under_5000,250,0.532,0.472,0.996,1.0,0.9924812030075187,117,1,132,0
