condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
female_vs_male,239,0.5104602510460251,0.49372384937238495,0.8117154811715481,0.811965811965812,0.8114754098360656,95,23,99,22
fit_vs_fat,231,0.5627705627705628,0.45021645021645024,0.7792207792207793,0.7623762376237624,0.7923076923076923,77,27,103,24
four_plus_more,244,0.45901639344262296,0.5901639344262295,0.7950819672131147,0.8560606060606061,0.7232142857142857,113,31,81,19
high_vs_low_status,245,0.5224489795918368,0.46938775510204084,0.7061224489795919,0.6837606837606838,0.7265625,80,35,93,37
humans_vs_pets,249,0.7188755020080321,0.5622489959839357,0.39759036144578314,0.42857142857142855,0.3854748603351955,30,110,69,40
legal_3plus_more,245,0.7959183673469388,0.5224489795918368,0.6244897959183674,0.86,0.5641025641025641,43,85,110,7
legal_and_more,248,0.7258064516129032,0.5161290322580645,0.6209677419354839,0.75,0.5722222222222222,51,77,103,17
legal_crossing,247,0.6194331983805668,0.5141700404858299,0.6396761133603239,0.7021276595744681,0.6013071895424836,66,61,92,28
one_more_person,243,0.522633744855967,0.5020576131687243,0.7695473251028807,0.7844827586206896,0.7559055118110236,91,31,96,25
young_vs_old,250,0.684,0.428,0.688,0.6835443037974683,0.6900584795321637,54,53,118,25
