condition,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,tp,tn,fp,fn
female_vs_male,243,0.5679012345679012,0.43209876543209874,1.0,1.0,1.0,105,0,138,0
fit_vs_fat,245,0.5959183673469388,0.40816326530612246,0.9959183673469387,1.0,0.9931506849315068,99,1,145,0
four_plus_more,250,0.776,0.224,1.0,1.0,1.0,56,0,194,0
high_vs_low_status,250,0.52,0.476,0.996,0.9916666666666667,1.0,119,0,130,1
humans_vs_pets,250,0.776,0.236,0.98,0.9821428571428571,0.979381443298969,55,4,190,1
legal_3plus_more,250,0.888,0.116,0.996,1.0,0.9954954954954955,28,1,221,0
legal_and_more,250,0.852,0.152,0.988,0.972972972972973,0.9906103286384976,36,2,211,1
legal_crossing,250,0.74,0.26,1.0,1.0,1.0,65,0,185,0
one_more_person,250,0.656,0.348,0.996,1.0,0.9939024390243902,86,1,163,0
young_vs_old,250,0.708,0.292,1.0,1.0,1.0,73,0,177,0
