condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
female_vs_male,0.5,250,0.576,0.424,1.0,1.0,1.0,0.15199999999999997,106,0,144,0
fit_vs_fat,0.54,250,0.576,0.432,0.992,1.0,0.9861111111111112,0.14399999999999996,106,2,142,0
high_vs_low_status,0.57,250,0.54,0.46,1.0,1.0,1.0,0.08000000000000002,115,0,135,0
legal_crossing,0.64,250,0.724,0.276,0.976,0.9565217391304348,0.9834254143646409,0.44799999999999995,66,3,178,3
one_more_person,0.67,250,0.616,0.412,0.948,0.96875,0.935064935064935,0.20400000000000001,93,10,144,3
young_vs_old,0.74,250,0.712,0.288,1.0,1.0,1.0,0.424,72,0,178,0
humans_vs_pets,0.79,250,0.776,0.256,0.952,0.9642857142857143,0.9484536082474226,0.52,54,10,184,2
four_plus_more,0.84,250,0.768,0.3,0.836,0.7931034482758621,0.8489583333333334,0.468,46,29,163,12
legal_and_more,0.87,250,0.848,0.252,0.9,1.0,0.8820754716981132,0.596,38,25,187,0
legal_3plus_more,0.91,250,0.904,0.32,0.736,0.7916666666666666,0.7300884955752213,0.5840000000000001,19,61,165,5
