condition,base_rate,n,pred_acc,esc_acc,esc_rate,esc_w,esc_r,gap,tp,tn,fp,fn
dti_over_30,0.51,250,0.6,0.4,1.0,1.0,1.0,0.19999999999999996,100,0,150,0
loan_under_5000,0.53,250,0.756,0.284,0.96,1.0,0.9470899470899471,0.47200000000000003,61,10,179,0
dti_over_25,0.64,250,0.648,0.364,0.988,1.0,0.9814814814814815,0.28400000000000003,88,3,159,0
dti_under_10,0.67,250,0.644,0.46,0.888,0.9887640449438202,0.8322981366459627,0.184,88,27,134,1
loan_over_25000,0.75,250,0.716,0.308,0.976,1.0,0.9664804469273743,0.408,71,6,173,0
fico_650_680,0.83,250,0.82,0.244,0.92,0.9555555555555556,0.9121951219512195,0.576,43,18,187,2
fico_650_700_dti_under_20,0.9,250,0.896,0.636,0.364,0.5,0.3482142857142857,0.26,13,146,78,13
fico_over_700,0.91,250,0.892,0.444,0.648,0.9259259259259259,0.6143497757847534,0.448,25,86,137,2
fico_over_750_dti_under_20,0.92,250,0.896,0.668,0.292,0.3076923076923077,0.29017857142857145,0.22799999999999998,8,159,65,18
fico_over_750_loan_under_20000,0.93,250,0.944,0.696,0.352,0.9285714285714286,0.3177966101694915,0.248,13,161,75,1
